playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
stefami01,2025,1,TOR,AL,9,22,1,4,0,0,0,0,0,0,3,3,0,0,0,0,0
stephja01,2023,1,ATL,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephja01,2024,1,ATL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephro01,2023,1,PIT,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephro01,2023,2,TBA,AL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephro01,2025,1,LAA,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephtr01,2023,1,CLE,AL,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stephty01,2023,1,CIN,NL,142,465,59,113,20,2,13,56,0,1,47,135,2,4,0,1,16
stephty01,2024,1,CIN,NL,138,457,69,118,26,1,19,66,1,0,48,117,2,8,0,2,9
stephty01,2025,1,CIN,NL,88,299,40,69,18,0,13,50,0,1,37,116,1,2,0,4,4
sternju01,2024,1,TBA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sternju01,2025,1,ATH,AL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stevean01,2023,1,MIN,AL,25,37,4,7,1,0,0,1,4,1,2,8,0,1,0,0,0
steveca01,2023,1,SFN,NL,6,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0
steveca01,2024,1,PHI,NL,18,24,2,6,3,0,0,6,0,0,3,4,0,0,0,0,1
steveca01,2025,1,PHI,NL,5,8,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0
stevech02,2025,1,LAA,AL,5,13,1,2,0,0,0,0,0,1,0,7,0,0,1,0,0
stewabr01,2023,1,MIN,AL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stewabr01,2024,1,MIN,AL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stewabr01,2025,1,MIN,AL,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
